ID,Category,Pos_b,Pos_e,Privacy
1001,game,27,30,是王小贱
1001,vx,31,31,，
1001,game,32,35,也不是纯
1001,vx,36,36,情
1001,game,37,40,的人;我
1001,vx,41,41,是
1001,game,42,45,多啦A梦
1001,vx,46,46,，
1001,game,47,50,我和你一
1001,vx,51,51,样
1001,game,52,55,.我是王
1001,organization,56,57,小呆
1001,company,59,59,南
1001,organization,60,60,京
1001,vx,61,61,方
1001,game,62,65,凯（国际
1001,vx,66,66,）
1001,game,67,70,企业管理
1001,organization,71,71,有
1001,vx,72,72,限
1001,game,73,76,公司商业
1001,organization,77,77,设
1001,vx,78,78,计
1001,game,79,82,中心设计
1001,organization,83,84,"师"""
1002,email,0,3,新锐作家
1002,position,4,4,，
1002,vx,5,6,80
1002,game,7,10,后沈阳。
1002,vx,11,11,辽
1002,game,12,15,宁省作家
1002,organization,16,17,协会
1002,position,18,18,成
1002,vx,19,19,员
1002,game,20,20,。
1002,movie,21,21,《
1002,vx,22,22,兰
1002,game,23,26,陵皇妃》
1002,vx,27,27,影
1002,game,28,31,视改编中
1002,organization,32,33,。出
1002,company,35,35,过
1002,movie,36,36,《
1002,vx,37,37,烟
1002,game,38,41,花碎盛世
1002,organization,42,42,红
1002,vx,43,43,妆
1002,game,44,44,》
1002,movie,45,45,《
1002,vx,46,46,时
1002,game,47,47,光
1002,movie,48,48,旅
1002,vx,49,49,馆
1002,game,50,50,》
1002,movie,51,51,《
1002,vx,52,52,时
1002,game,53,56,光倒流的
1002,organization,57,59,童话》
1002,position,60,60,。
1002,vx,61,61,辽
1002,game,62,62,台
1002,movie,63,63,《
1002,vx,64,64,交
1002,game,65,68,锋》编导
1002,vx,69,69,。
1002,game,70,73,，新锐作
1002,vx,74,74,家
1002,game,75,78,，已出版
1002,vx,79,79,作
1002,game,80,80,品
1002,movie,81,81,《
1002,vx,82,82,兰
1002,game,83,83,陵
1002,movie,84,84,皇
1002,vx,85,85,妃
1002,game,86,86,》
1002,movie,87,87,《
1002,vx,88,88,时
1002,game,89,89,光
1002,movie,90,90,旅
1002,vx,91,91,馆
1002,game,92,92,》
1002,movie,93,93,《
1002,vx,94,94,四
1002,game,95,95,月
1002,movie,96,96,樱
1002,vx,97,97,花
1002,game,98,98,》
1002,movie,99,99,《
1002,vx,100,100,冬
1002,game,101,104,至之雪》
1002,organization,105,107,《时光
1002,organization,108,110,倒流的
1002,mobile,111,112,童话
1002,organization,113,114,"》"""
1003,email,0,5,到处人声鼎沸
1003,organization,6,7,作为
1003,company,9,9,业
1003,government,10,10,观
1003,name,11,11,察
1003,mobile,12,13,者和
1003,position,14,14,记
1003,vx,15,15,录
1003,game,16,19,者渴望拥
1003,vx,20,20,有
1003,game,21,24,默默前行
1003,vx,25,25,的
1003,game,26,29,勇气也渴
1003,vx,30,30,望
1003,game,31,34,获得四处
1003,vx,35,35,游
1003,game,36,39,荡的自由
1003,vx,40,40,有
1003,game,41,44,质感的生
1003,vx,45,45,活
1003,game,46,49,源自有质
1003,vx,50,50,感
1003,game,51,54,的灵魂.
1003,organization,54,55,..
1003,book,58,59,宁夏
1003,scene,60,61,电影
1003,scene,62,63,电视
1003,name,64,64,家
1003,mobile,65,66,协会
1003,position,67,67,副
1003,game,68,71,主席代晓
1003,organization,72,73,"宁"""
1004,company,0,0,艾
1004,organization,1,1,瘾
1004,vx,2,2,(
1004,game,3,10,FrenkieL
1004,vx,11,12,ee
1004,game,13,16,)，本名
1004,vx,17,17,：
1004,game,18,21,李昭桦。
1004,vx,22,22,生
1004,game,23,26,于台北，
1004,vx,27,27,现
1004,game,28,31,居香港。
1004,vx,32,32,出
1004,game,33,36,版过两本
1004,vx,37,37,现
1004,game,38,41,代文学小
1004,vx,42,42,说
1004,game,43,46,，亦写过
1004,vx,47,47,旅
1004,game,48,51,游书，时
1004,organization,52,52,尚
1004,vx,53,53,潮
1004,game,54,57,流等。欢
1004,vx,58,58,迎
1004,game,59,62,报纸杂志
1004,vx,63,63,出
1004,game,64,67,版社私信
1004,organization,68,69,联络
1004,email,71,72,稿，
1004,position,73,73,香
1004,vx,74,74,港
1004,game,75,78,作家艾瘾
1004,vx,79,79,，
1004,game,80,83,出版书籍
1004,vx,84,84,有
1004,game,85,88,《漩涡》
1004,vx,89,89,、
1004,game,90,90,《
1004,movie,91,91,轻
1004,vx,92,92,佻
1004,game,93,96,的优雅》
1004,organization,97,98,"等"""
1005,company,0,0,好
1005,organization,1,1,照
1005,vx,2,2,片
1005,game,3,6,不用文字
1005,vx,7,7,作
1005,game,8,11,注脚，就
1005,vx,12,12,可
1005,game,13,16,以带妳回
1005,vx,17,17,到
1005,game,18,21,那时那刻
1005,organization,22,23,。我
1005,email,25,26,一位
1005,position,27,27,婚
1005,vx,28,28,礼
1005,game,29,32,摄影师。
1005,vx,33,33,客
1005,game,34,40,片集：http
1005,vx,41,41,:
1005,game,42,47,//www.
1005,vx,48,49,xi
1005,game,50,56,ci.net/
1005,vx,57,58,d1
1005,game,59,66,47193893
1005,vx,67,67,.
1005,game,68,73,htm，南京
1005,vx,74,74,知
1005,game,75,78,名婚礼摄
1005,organization,79,80,影师
1005,book,82,83,洲婚
1005,scene,84,85,礼和
1005,scene,86,87,人像
1005,scene,88,89,摄影
1005,scene,90,91,协会
1005,scene,92,94,(WP
1005,scene,95,97,PA)
1005,scene,98,98,会
1005,address,99,100,"员"""
1006,company,0,0,日
1006,organization,1,1,本
1006,vx,2,2,著
1006,game,3,6,名男演員
1006,organization,7,8,。在
1006,company,10,10,影
1006,movie,11,11,《
1006,vx,12,12,甜
1006,game,13,16,心巧克力
1006,vx,17,17,》
1006,game,18,21,中與林志
1006,vx,22,22,玲
1006,game,23,26,合演。參
1006,vx,27,27,與
1006,game,28,31,目前播放
1006,vx,32,32,中
1006,game,33,39,的2013年大
1006,vx,40,40,河
1006,game,41,41,劇
1006,movie,42,42,《
1006,vx,43,43,八
1006,game,44,47,重之櫻》
1006,organization,48,48,、
1006,vx,49,49,電
1006,game,50,50,影
1006,movie,51,51,《
1006,vx,52,52,奇
1006,game,53,56,蹟的蘋果
1006,organization,57,58,》演
1006,email,60,61,。，
1006,position,62,62,日
1006,vx,63,63,本
1006,game,64,67,演员池内
1006,vx,68,68,博
1006,game,69,72,之，电视
1006,organization,73,74,剧代
1006,company,76,76,作
1006,movie,77,77,《
1006,vx,78,79,GT
1006,game,80,85,O》《BOY
1006,organization,86,88,S美型
1006,mobile,89,90,专家
1006,organization,91,92,》，
1006,email,94,99,影代表作《叶
1006,organization,100,101,问》
1007,book,0,0,实
1007,scene,1,1,为
1007,address,2,3,师徒
1007,email,5,8,系的情义
1007,government,9,9,。
1007,name,10,10,风
1007,mobile,11,11,清
1007,name,12,12,扬
1007,mobile,13,13,是
1007,name,14,14,金
1007,mobile,15,16,庸武
1007,position,17,17,侠
1007,vx,18,18,小
1007,game,19,19,说
1007,movie,20,20,《
1007,vx,21,21,笑
1007,game,22,22,傲
1007,movie,23,23,江
1007,vx,24,24,湖
1007,game,25,28,》中的人
1007,vx,29,29,物
1007,game,30,33,，原属于
1007,organization,34,34,华
1007,vx,35,35,山
1007,game,36,39,派剑宗，
1007,organization,40,40,熟
1007,vx,41,41,习
1007,game,42,45,独孤九剑
1007,organization,46,46,，
1007,vx,47,47,玩
1007,game,48,54,dota，你会
1007,vx,55,55,发
1007,game,56,59,现钱总是
1007,vx,60,60,不
1007,game,61,65,够花玩im
1007,organization,66,67,ba
1007,vx,68,68,，
1007,game,69,72,你会发现
1007,organization,73,73,最
1007,vx,74,74,不
1007,game,75,78,想要的就
1007,vx,79,79,是
1007,game,80,87,钱castle一
1007,vx,88,88,家
1007,game,89,92,获得了渣
1007,vx,93,93,打
1007,game,94,97,银行的优
1007,organization,98,99,待。
1008,company,0,0,遇
1008,organization,1,1,见
1008,vx,2,2,你
1008,game,3,6,，是我的
1008,organization,7,7,福
1008,vx,8,8,气
1008,game,9,12,；遇见我
1008,organization,13,13,，
1008,vx,14,14,你
1008,game,15,18,也会满心
1008,organization,19,20,欢喜
1008,email,22,35,mingri@vip.163
1008,organization,36,39,.com
1008,email,44,55,://blog.sina
1008,vx,56,56,.
1008,game,57,63,com.cn/
1008,vx,64,64,u
1008,game,65,72,/1675977
1008,vx,73,76,383，
1008,position,77,77,作
1008,vx,78,78,家
1008,game,79,82,，代表作
1008,organization,83,85,《飘零
1008,mobile,86,87,的红
1008,mobile,88,89,枫叶
1008,organization,90,91,"》"""
1009,company,0,1,10
1009,organization,2,2,月
1009,vx,3,3,8
1009,game,4,8,日17点，
1009,organization,9,11,在《叶
1009,mobile,12,13,问》
1009,position,14,14,导
1009,QQ,15,15,演
1009,name,16,16,叶
1009,mobile,17,17,伟
1009,name,18,18,信
1009,mobile,19,19,、
1009,name,20,20,片
1009,mobile,21,21,中
1009,name,22,22,饰
1009,mobile,23,23,演
1009,name,24,24,叶
1009,mobile,25,26,问夫
1009,position,27,27,妇
1009,vx,28,28,的
1009,game,29,32,甄子丹、
1009,vx,33,33,熊
1009,game,34,37,黛林将做
1009,vx,38,38,客
1009,game,39,42,新浪，按
1009,organization,43,43,照
1009,vx,44,44,原
1009,game,45,48,定计划，
1009,organization,49,49,花
1009,vx,50,50,旗
1009,game,51,54,集团将在
1009,organization,55,58,2009
1009,vx,59,59,年
1009,game,60,63,第一季度
1009,vx,64,64,在
1009,game,65,68,湖北省赤
1009,organization,69,70,壁市
1009,company,72,72,设
1009,organization,73,73,另
1009,vx,74,74,一
1009,game,75,78,家贷款公
1009,organization,79,80,司。
101,email,0,3,香港演員
101,position,4,4,，
101,vx,5,5,基
101,game,6,9,督徒，充
101,organization,10,11,滿正
101,email,13,18,量的快樂單身
101,vx,19,19,女
101,game,20,23,人。工作
101,organization,24,25,聯繫
101,company,27,27,誠
101,organization,28,28,信
101,vx,29,29,娛
101,game,30,33,樂發展有
101,vx,34,34,限
101,game,35,38,公司陳小
101,vx,39,39,姐
101,game,40,49,852-252011
101,vx,50,51,86
101,game,52,58,，852-92
101,vx,59,62,6771
101,address,63,65,02電
101,email,67,80,lplpent@yahoo.
101,organization,81,83,com
101,vx,84,84,.
101,game,85,86,hk
101,movie,87,87,，
101,position,88,88,香
101,game,89,92,港演员邓
101,organization,93,94,萃雯
1010,company,0,1,10
1010,organization,2,2,月
1010,vx,3,4,15
1010,game,5,8,日下午，
1010,vx,9,9,“
1010,game,10,13,益”起来
1010,vx,14,14,与
1010,game,15,18,曙“黔”
1010,organization,19,20,行海
1010,email,22,30,区2018年全国扶
1010,vx,31,31,贫
1010,game,32,35,日主题活
1010,vx,36,36,动
1010,game,37,40,在海曙区
1010,vx,41,41,文
1010,game,42,45,体中心举
1010,organization,46,47,行。
1011,book,0,0,《
1011,scene,1,1,温
1011,organization,2,2,柔
1011,vx,3,3,刺
1011,game,4,7,客》的故
1011,vx,8,8,事
1011,game,9,12,改编自二
1011,vx,13,13,战
1011,game,14,17,英国女间
1011,vx,18,18,谍
1011,game,19,28,VioletteSu
1011,organization,29,30,mm
1011,vx,31,32,er
1011,game,33,36,的真实历
1011,vx,37,37,史
1011,game,38,41,，大兴线
1011,vx,42,42,）
1011,game,43,46,。东距大
1011,vx,47,47,红
1011,game,48,51,门商圈2
1011,vx,52,52,.
1011,game,53,56,5公里，
1011,vx,57,57,西
1011,game,58,61,距首都经
1011,vx,62,62,济
1011,game,63,66,贸易大学
1011,vx,67,67,，
1011,game,68,71,丽泽商圈
1011,organization,72,72,3
1011,vx,73,73,公
1011,game,74,77,里路程，
1011,organization,78,78,北
1011,vx,79,79,至
1011,game,80,83,金融街商
1011,organization,84,84,圈
1011,vx,85,85,8
1011,game,86,89,.无法确
1011,organization,90,90,定
1011,vx,91,91,参
1011,game,92,95,观莫高窟
1011,vx,96,96,的
1011,game,97,100,时间，所
1011,vx,101,101,以
1011,game,102,105,建议大家
1011,vx,106,106,在
1011,game,107,110,出行日期
1011,organization,111,111,的
1011,vx,112,112,前
1011,game,113,118,30-40天
1011,vx,119,119,之
1011,game,120,123,间预订车
1011,organization,124,125,辆。
1012,email,0,5,年轻的我们必
1012,vx,6,6,须
1012,game,7,10,懂得：你
1012,vx,11,11,不
1012,game,12,15,勇敢，没
1012,vx,16,16,人
1012,game,17,20,替你坚强
1012,vx,21,21,。
1012,game,22,25,没有伞的
1012,vx,26,26,孩
1012,game,27,30,子必须努
1012,vx,31,31,力
1012,game,32,35,奔跑！自
1012,vx,36,36,己
1012,game,37,40,选择的路
1012,vx,41,41,、
1012,game,42,45,跪着也要
1012,vx,46,46,把
1012,game,47,50,它走完，
1012,vx,51,51,就
1012,game,52,55,算跌倒也
1012,vx,56,56,要
1012,game,57,60,豪迈的笑
1012,vx,61,61,。
1012,game,62,65,，白沙县
1012,vx,66,66,志
1012,game,67,70,愿者、共
1012,organization,71,72,青团
1012,email,74,79,爱农民工子女
1012,organization,80,81,志愿
1012,email,83,88,务行动项目专
1012,organization,89,90,"员"""
1013,company,0,3,Core
1013,organization,4,4,+
1013,vx,5,7,fit
1013,game,8,14,ness創辦人
1013,vx,15,15,風
1013,game,16,19,林火山主
1013,vx,20,20,席
1013,game,21,24,#仁心解
1013,vx,25,25,碼
1013,game,26,29,二#賴瑤
1013,vx,30,30,星
1013,game,31,34,#拳王#
1013,vx,35,35,戴
1013,game,36,39,子力如有
1013,vx,40,40,工
1013,game,41,44,作豐生娛
1013,vx,45,45,樂
1013,game,46,54,852-28610
1013,vx,55,56,51
1013,game,57,65,1amplehop
1013,vx,66,66,e
1013,game,67,71,.ent@
1013,vx,72,76,gmail
1013,game,77,84,.com，TVB
1013,organization,85,86,演員
1014,company,0,0,开
1014,organization,1,1,始
1014,vx,2,2,在
1014,game,3,6,内心生活
1014,vx,7,7,得
1014,game,8,11,更严肃的
1014,vx,12,12,人
1014,game,13,16,，也会在
1014,vx,17,17,外
1014,game,18,21,表上开始
1014,vx,22,22,生
1014,game,23,26,活得更朴
1014,vx,27,27,素
1014,game,28,31,。优于别
1014,vx,32,32,人
1014,game,33,36,，并不高
1014,vx,37,37,贵
1014,game,38,41,，真正的
1014,vx,42,42,高
1014,game,43,46,贵应该是
1014,vx,47,47,优
1014,game,48,51,于过去的
1014,organization,52,53,自己
1014,company,55,55,—
1014,government,55,55,—
1014,name,57,57,海
1014,mobile,58,58,明
1014,name,59,59,威
1014,mobile,60,60,，
1014,name,61,61,刘
1014,mobile,62,63,璐珈
1014,position,65,65,演
1014,vx,66,66,员
1014,game,67,67,，
1014,movie,68,68,《
1014,vx,69,69,谁
1014,game,70,70,知
1014,movie,71,71,女
1014,vx,72,72,人
1014,game,73,76,心》饰薛
1014,organization,77,78,秀妍
1015,company,0,0,经
1015,organization,1,2,典作
1015,company,4,4,：
1015,movie,5,5,《
1015,vx,6,6,人
1015,game,7,10,间正道是
1015,organization,11,11,沧
1015,vx,12,12,桑
1015,game,13,13,》
1015,movie,14,14,《
1015,vx,15,15,茉
1015,game,16,16,莉
1015,movie,17,17,花
1015,vx,18,18,开
1015,game,19,19,》
1015,movie,20,20,《
1015,vx,21,21,汉
1015,game,22,22,武
1015,movie,23,23,大
1015,vx,24,24,帝
1015,game,25,25,》
1015,movie,26,26,《
1015,vx,27,27,山
1015,game,28,31,间铃响马
1015,organization,32,34,帮来》
1015,mobile,35,36,《永
1015,mobile,37,38,远的
1015,organization,39,39,忠
1015,vx,40,40,诚
1015,game,41,41,》
1015,movie,42,42,《
1015,vx,43,43,杨
1015,game,44,47,善洲》《
1015,organization,48,50,桐柏英
1015,mobile,51,52,雄》
1015,position,53,53,等
1015,vx,54,54,；
1015,game,55,55,即
1015,movie,56,56,将
1015,vx,57,57,播
1015,game,58,58,出
1015,movie,59,59,《
1015,vx,60,60,洪
1015,game,61,64,流》《警
1015,organization,65,67,校生》
1015,position,68,68,，
1015,vx,69,69,制
1015,game,70,73,作人严从
1015,organization,74,75,华，
1015,company,77,77,品
1015,movie,78,78,《
1015,vx,79,79,人
1015,game,80,83,间正道是
1015,organization,84,84,沧
1015,vx,85,85,桑
1015,game,86,86,》
1015,movie,87,87,《
1015,vx,88,88,茉
1015,game,89,92,莉花开》
1015,organization,93,95,《汉武
1015,mobile,96,97,大帝
1015,organization,98,99,》等
1016,company,0,0,根
1016,organization,1,1,在
1016,vx,2,2,山
1016,game,3,6,西灵丘生
1016,vx,7,7,在
1016,game,8,11,陕西西安
1016,vx,12,12,长
1016,game,13,16,在长春重
1016,vx,17,17,庆
1016,game,18,21,湖南成都
1016,vx,22,22,北
1016,game,23,26,京天津生
1016,vx,27,27,于
1016,game,28,31,兵营当过
1016,vx,32,32,士
1016,game,33,36,兵分配工
1016,vx,37,37,厂
1016,game,38,41,当过工人
1016,vx,42,42,推
1016,game,43,46,荐上学成
1016,vx,47,47,为
1016,game,48,51,高工改革
1016,vx,52,52,开
1016,game,53,58,放投身TED
1016,organization,59,59,A
1016,vx,60,60,，
1016,game,61,64,天津经济
1016,organization,65,65,技
1016,vx,66,66,术
1016,game,67,70,开发区（
1016,organization,71,71,南
1016,vx,72,72,港
1016,game,73,80,工业区）监察室主
1016,organization,81,82,"任"""
1017,company,0,0,第
1017,organization,1,1,二
1017,vx,2,2,人
1017,game,3,11,生》(Second
1017,organization,12,15,Life
1017,vx,16,16,)
1017,game,17,20,玩家的。
1017,organization,21,22,此外
1017,company,24,25,Ka
1017,organization,26,27,os
1017,vx,28,29,St
1017,game,30,35,udios是
1017,vx,36,36,T
1017,game,37,40,HQ的内
1017,organization,41,42,部工
1017,email,44,49,室，曾经开发
1017,vx,50,50,出
1017,game,51,54,《前线：
1017,organization,55,55,战
1017,vx,56,56,争
1017,game,57,60,燃料》，
1017,organization,61,61,若
1017,vx,62,62,最
1017,game,63,66,终判定是
1017,organization,67,67,三
1017,vx,68,68,湘
1017,game,69,72,烟花及其
1017,vx,73,73,法
1017,game,74,77,定代表人
1017,vx,78,78,为
1017,game,79,82,最终责任
1017,vx,83,83,人
1017,game,84,87,，不论是
1017,vx,88,88,否
1017,game,89,92,由保险公
1017,vx,93,93,司
1017,game,94,97,先行理赔
1017,vx,98,98,，
1017,game,99,102,它也是矗
1017,vx,103,103,立
1017,game,104,107,在阿克海
1017,vx,108,108,角
1017,game,109,112,边上一座
1017,vx,113,113,城
1017,game,114,117,堡的名字
1017,vx,118,118,，
1017,game,119,122,从这座城
1017,vx,123,123,堡
1017,game,124,127,几乎可以
1017,vx,128,128,俯
1017,game,129,132,瞰市政厅
1017,vx,133,133,和
1017,game,134,137,奥斯陆市
1017,organization,138,139,中心
1017,company,141,141,全
1017,organization,142,143,貌。
1018,email,0,1,著名
1018,position,2,2,小
1018,vx,3,3,说
1018,game,4,4,家
1018,movie,5,5,、
1018,position,6,6,编
1018,vx,7,7,剧
1018,game,8,11,。影视作
1018,vx,12,12,品
1018,game,13,13,有
1018,movie,14,14,《
1018,vx,15,15,牟
1018,game,16,19,氏庄园》
1018,organization,20,22,《我们
1018,mobile,23,24,的连
1018,mobile,25,26,队》
1018,organization,27,29,《低头
1018,mobile,30,31,不见
1018,mobile,32,33,抬头
1018,mobile,34,35,见》
1018,mobile,36,37,《将
1018,mobile,38,39,军日
1018,mobile,40,41,记》
1018,mobile,42,43,《像
1018,mobile,44,45,兄妹
1018,mobile,46,47,一样
1018,mobile,48,49,手拉
1018,mobile,50,51,手》
1018,mobile,52,53,《好
1018,mobile,54,55,人大
1018,mobile,56,57,冯》
1018,mobile,58,59,《小
1018,mobile,60,61,点》
1018,mobile,62,63,《火
1018,mobile,64,65,影雄
1018,mobile,66,67,兵》
1018,mobile,68,69,等，
1018,position,70,70,小
1018,game,71,74,说家\编
1018,organization,75,76,"剧"""
1019,company,0,0,经
1019,organization,1,1,济
1019,vx,2,2,学
1019,game,3,6,博士后，
1019,organization,7,7,南
1019,vx,8,8,京
1019,game,9,12,大学商学
1019,vx,13,13,院
1019,game,14,17,教授，南
1019,organization,18,18,京
1019,vx,19,19,大
1019,game,20,23,学长江三
1019,organization,24,25,角洲
1019,book,27,28,济社
1019,scene,29,30,会发
1019,scene,31,35,展研究中心
1019,position,36,36,研
1019,vx,37,37,究
1019,game,38,41,员。，经
1019,organization,42,42,济
1019,vx,43,43,学
1019,game,44,47,博士后，
1019,organization,48,48,南
1019,vx,49,49,京
1019,game,50,53,大学商学
1019,organization,54,55,院教
1019,company,57,57,，
1019,organization,58,58,南
1019,vx,59,59,京
1019,game,60,63,大学长江
1019,organization,64,65,三角
1019,book,67,68,经济
1019,scene,69,70,社会
1019,scene,71,72,发展
1019,scene,73,78,研究中心研究
1019,organization,79,80,"员"""
102,email,0,5,由于暴雪(连
102,organization,6,6,同
102,vx,7,8,Go
102,game,9,13,mTV)正
102,vx,14,14,就
102,game,15,18,星际争霸
102,organization,19,19,知
102,vx,20,20,识
102,game,21,24,产权问题
102,vx,25,25,与
102,game,26,31,KeSPA(
102,organization,32,34,el9
102,book,36,39,mund
102,scene,40,51,odeportivo（世
102,organization,52,52,界
102,vx,53,53,体
102,game,54,57,育报）三
102,organization,58,59,家。
1020,company,0,0,王
1020,organization,1,2,兆星
1020,email,4,9,银监会未禁止
1020,vx,10,10,银
1020,game,11,14,行向美金
1020,organization,15,16,融机
1020,company,18,18,借
1020,government,19,19,贷
1020,name,20,20,温
1020,mobile,21,21,斯
1020,name,22,22,莱
1020,mobile,23,23,特
1020,name,24,24,联
1020,mobile,25,25,袂
1020,name,26,26,出
1020,mobile,27,27,演
1020,name,28,28,罗
1020,mobile,29,29,丝
1020,name,30,30,，
1020,mobile,31,32,她饰
1020,position,33,33,演
1020,game,34,37,角色的老
1020,organization,38,39,年。
1021,email,0,5,活得跟自己想
1021,vx,6,6,的
1021,game,7,10,差了一个
1021,vx,11,11,天
1021,game,12,15,一个地，
1021,vx,16,16,于
1021,game,17,20,是活在了
1021,vx,21,21,人
1021,game,22,25,间，想到
1021,vx,26,26,处
1021,game,27,30,走走却最
1021,vx,31,31,终
1021,game,32,35,走回了家
1021,vx,36,36,，
1021,game,37,40,等着，活
1021,vx,41,41,着
1021,game,42,45,，迷醉在
1021,vx,46,46,那
1021,game,47,50,人间的四
1021,vx,51,51,月
1021,game,52,55,天里，大
1021,organization,56,57,学生
1021,position,58,58,村
1021,vx,59,59,官
1021,game,60,63,、广东省
1021,vx,64,64,东
1021,game,65,68,莞市望牛
1021,organization,69,69,墩
1021,vx,70,70,镇
1021,game,71,74,朱平沙村
1021,vx,75,75,委
1021,game,76,79,会书记助
1021,organization,80,81,"理"""
1022,company,0,0,免
1022,organization,1,1,费
1022,vx,2,2,提
1022,game,3,6,供专业的
1022,organization,7,7,移
1022,vx,8,8,民
1022,game,9,12,各国和留
1022,vx,13,13,学
1022,game,14,17,咨询服务
1022,vx,18,18,。
1022,game,19,26,QQ:22064
1022,organization,27,28,12
1022,vx,29,31,941
1022,address,32,35,/TEL
1022,company,37,39,021
1022,movie,40,40,-
1022,vx,41,43,522
1022,game,44,52,888861376
1022,vx,53,54,42
1022,game,55,60,25622，
1022,vx,61,61,侨
1022,game,62,65,安移民咨
1022,vx,66,66,询
1022,game,67,70,部经理李
1022,organization,71,72,"林"""
1023,email,0,5,阳光、热情、
1023,organization,6,7,健康
1023,email,9,11,80后
1023,position,12,12,民
1023,vx,13,13,警
1023,game,14,17,。参加工
1023,vx,18,18,作
1023,game,19,22,六年来，
1023,organization,23,24,扎根
1023,email,26,31,层，勤学善思
1023,vx,32,32,，
1023,game,33,36,勇挑重担
1023,vx,37,37,，
1023,game,38,41,保持激情
1023,vx,42,42,，
1023,game,43,46,充分展示
1023,vx,47,47,和
1023,game,48,51,发挥了一
1023,organization,52,53,名“
1023,email,56,59,后”青年
1023,position,60,60,民
1023,vx,61,61,警
1023,game,62,65,的朝气和
1023,organization,66,67,活力
